category,article,description,unit_measure,unit_value,stock,bpc,ohpc,remarks
NOTEBOOKS,Notebook,Refill,pc,8.3,0,0,0,
OTHER OFFICE PAPERS,Onion skin,"superfine, long",ream,132.25,3,3,3,
OTHER OFFICE EQUIPMENTS,Paper Clip,33mm,box,23.09090909,51,51,51,
OTHER OFFICE EQUIPMENTS,Paper Clip,50mm ,box,24,51,51,51,
OTHER OFFICE EQUIPMENTS,Paper Fastener,"metal, 70mm between prongs",box,128,98,98,98,
CUTTING MATERIALS,Paper Cutter,15 X 12,pc,1018.75,1,1,1,
PENCILS,Pencil,"lead, w/ eraser, ",pc,6.899795604,2522,2522,2522,
OTHER OFFICE EQUIPMENTS,Pencil Sharpener,single/ metal/plastic,pc,4.660869205,1141,1141,1141,
OTHER OFFICE EQUIPMENTS,Pencil sharpener,heavy duty,pc,214.5833333,3,3,3,
PERMANENT MARKERS,Pentel Pen,"Pilot Fine, black",piece,32.27641,133,133,133,
PERMANENT MARKERS,Pentel Pen,"Pilot Broad, red",pc,31.25,3,3,3,
PERMANENT MARKERS,Pentel Pen,"Pilot Broad, black",piece,32.21375758,153,153,153,
OTHER OFFICE EQUIPMENTS,Photo Frame,"8x10"" PB046",pc,108.75,12,12,12,
OTHER OFFICE PAPERS,Photo Paper,,pack,184.0853659,39,39,39,
OTHER OFFICE EQUIPMENTS,Plastic transparent,18''x24(Thick),pc,16.5,1000,1000,1000,
OTHER OFFICE EQUIPMENTS,Plastic Case,"for certificate, short",pc,38.75,8,8,8,
OTHER OFFICE EQUIPMENTS,Plastic Spiral,1/2 inch,pc,13.5,5,5,5,
OTHER OFFICE EQUIPMENTS,Plastic Spiral,3/4 inch,pc,24.75,5,5,5,
OTHER OFFICE EQUIPMENTS,Plastic Spiral,1 inch,pc,47.75,5,5,5,
OTHER OFFICE EQUIPMENTS,Puncher,heavy duty w/ two hole,pc,133.9090909,11,11,11,
OTHER OFFICE EQUIPMENTS,Rags,Cotton small,pc,4.4,305,305,305,
OTHER OFFICE EQUIPMENTS,Record Book,300 Pages,book,139,10,10,10,
OTHER OFFICE EQUIPMENTS,Record Book,"500 pages, size: 214mm x 278mm min",book,144.5527273,11,11,11,
OTHER OFFICE EQUIPMENTS,Ring Bind,Heavy duty,pc,6399.75,1,1,1,
OTHER OFFICE EQUIPMENTS,Ruler,18'' Metal,pc,110,12,12,12,
OTHER OFFICE EQUIPMENTS,Rubber Band,70mm min lay flat length (#18),box,104.3333333,6,6,6,
CUTTING MATERIALS,Scissor,"symmetrical, blade length: 65mm min",pair,33.06,20,20,20,
OTHER OFFICE EQUIPMENTS,Sponge/ Scouring pad,,pack,58,0,0,0,
OTHER OFFICE EQUIPMENTS,Stamping Machine,w/ receive,pc,55,4,4,4,
OTHER OFFICE EQUIPMENTS,Stamp Pad Ink,violet prince 24ml/purple,bot,21.12333333,14,14,14,
OTHER OFFICE EQUIPMENTS,"Stapler, Heavy Duty",w/ remover,pc,105,4,4,4,
OTHER OFFICE EQUIPMENTS,"Stapler, Heavy Duty",50 LAN KWtri0,pc,1796.75,1,1,1,
OTHER OFFICE EQUIPMENTS,Staple remover,plier-type,pc,25.86,5,5,5,
SIGNPEN,Sign Pen,"Black, 0.5mm",pc,80,72,72,72,
SIGNPEN,Sign Pen,"G-tech .4, black refill",pc,37.75,3,3,3,
SIGNPEN,Sign Pen,Blue,pc,43.70191781,41,41,41,
STAPLE WIRES,Staple Wire,"Standard ,(26/6)",box,25.79032258,51,51,51,
OTHER OFFICE PAPERS,Sticker Paper,,pack,35.75,2,2,2,
STICKY NOTES,Sticky Notes,,pc,35.55425287,57,57,57,
OTHER OFFICE EQUIPMENTS,Tape Dispenser,Big,pc,71.03,8,8,8,
PACKAGING TAPES,"Tape, Electrical",18mm x 16m min,roll,19.39,2,2,2,
PACKAGING TAPES,Tape Masking,48 mm width,roll,121.4222222,7,7,7,
PACKAGING TAPES,"Tape, Packing","2"" width",roll,22.44376147,101,101,101,
PACKAGING TAPES,"Tape, Transparent",2'' width,roll,22.46357143,99,99,99,
OTHER OFFICE EQUIPMENTS,Tissue Paper,"2-ply sheets, 150 pulls",roll,14.84615,31,31,31,
OTHER OFFICE EQUIPMENTS,Toilet Bowl cleaner,"Sher, 500ml/Greenex",bot,153.30556,16,16,16,
OTHER OFFICE EQUIPMENTS,Toner,HP 1200 series,unit,3500,1,1,1,
OTHER OFFICE EQUIPMENTS,Toner Refill,HP 1200 series,unit,1500,1,1,1,
OTHER OFFICE EQUIPMENTS,"Twine, Plastic",big,pc,54.75,4,4,4,
OTHER OFFICE EQUIPMENTS,Typewriter ribbon,old town,pc,22.75,5,5,5,
WHITEBOARD MARKERS,White Board Marker,"blue, felt, bullet",pc,13.9,12,12,12,
WHITEBOARD MARKERS,White Board Marker,"red, felt tip, bullet type",pc,13.9,12,12,12,
WHITEBOARD MARKERS,White Board Marker,black,pc,30.34360656,61,61,61,
